,PLAYER_NAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,metadata_source
20,Sterling Brown,12.000000:38,1.0,4.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,-6.0,2021-11-02 DAL vs. MIA
21,Boban Marjanovic,2.000000:10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2021-11-02 DAL vs. MIA
22,Josh Green,4.000000:02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,2021-11-02 DAL vs. MIA
23,Eugene Omoruyi,1.000000:44,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2021-11-02 DAL vs. MIA
24,JaQuori McLaughlin,1.000000:44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2021-11-02 DAL vs. MIA
25,Moses Brown,1.000000:44,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2021-11-02 DAL vs. MIA
0,Tim Hardaway Jr.,35.000000:41,7.0,17.0,0.412,3.0,9.0,0.333,6.0,6.0,1.0,0.0,6.0,6.0,3.0,2.0,0.0,1.0,2.0,23.0,18.0,2021-11-03 DAL @ SAS
1,Dorian Finney-Smith,35.000000:35,2.0,8.0,0.25,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,1.0,0.0,4.0,4.0,-12.0,2021-11-03 DAL @ SAS
2,Dwight Powell,22.000000:55,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,0.0,0.0,1.0,3.0,3.0,6.0,-1.0,2021-11-03 DAL @ SAS
3,Jalen Brunson,36.000000:25,9.0,17.0,0.529,1.0,4.0,0.25,12.0,15.0,0.8,1.0,9.0,10.0,3.0,2.0,0.0,2.0,2.0,31.0,13.0,2021-11-03 DAL @ SAS
4,Luka Doncic,36.000000:11,10.0,25.0,0.4,3.0,12.0,0.25,0.0,2.0,0.0,0.0,12.0,12.0,7.0,2.0,0.0,4.0,1.0,23.0,-17.0,2021-11-03 DAL @ SAS
